LOTE;UNIDAD;TIPO;ANHO;TRACC;COMB;KILOMETRAJE;ADJUDIC
99;BFE;HATCHBACK;2013;4x2;B;97540;1700000
100;BFE;SEDAN;2008;4x2;B;164451;1400000
1;BFE;CAMIONETA;2019;4x4;B;11749;24600000
2;AUTOMOTORAS;CAMIONETA;2017;4x4;B;60000;10900000
3;AUTOMOTORAS;STATION WAGON;2015;4x4;B;72177;11700000
4;AUTOMOTORAS;STATION WAGON;2016;4x2;D;50199;12800000
5;PARTICULARES;STATION WAGON;2016;4x4;D;131058;10800000
6;AUTOMOTORAS;STATION WAGON;2016;4x4;B;90899;11600000
7;AUTOMOTORAS;STATION WAGON;2016;4x2;B;29504;9800000
8;PARTICULARES;STATION WAGON;2017;4x4;B;46613;9500000
9;PARTICULARES;STATION WAGON;2016;4x2;B;61273;8700000
10;AUTOMOTORAS;STATION WAGON;2019;4x2;D;60845;8100000
11;AUTOMOTORAS;HATCHBACK;2019;4x2;D;48617;8700000
12;AUTOMOTORAS;SEDAN;2019;4x2;D;35924;6400000
13;AUTOMOTORAS;SEDAN;2019;4x2;D;38439;6400000
14;AUTOMOTORAS;STATION WAGON;2018;4x2;D;60941;7700000
15;AUTOMOTORAS;STATION WAGON;2018;4x2;D;64832;7700000
16;PARTICULARES;STATION WAGON;2017;4x2;B;64443;10200000
17;AUTOMOTORAS;STATION WAGON;2016;4x4;B;47613;9600000
18;BFE;STATION WAGON;2013;4x2;B;65596;7200000
19;PARTICULARES;STATION WAGON;2017;4x4;B;50494;8600000
20;AUTOMOTORAS;STATION WAGON;2016;4x2;B;73647;8500000
21;PARTICULARES;STATION WAGON;2015;4x4;B;82354;8800000
22;PARTICULARES;STATION WAGON;2016;4x2;B;45878;7600000
23;LEASING;STATION WAGON;2018;4x2;B;69120;6300000
24;LEASING;STATION WAGON;2018;4x2;B;70711;6300000
25;PARTICULARES;HATCHBACK;2015;4x2;D;132965;8900000
26;LEASING;CAMIONETA;2018;4x4;D;61432;10000000
27;LEASING;CAMIONETA;2018;4x4;D;93708;10000000
28;LEASING;CAMIONETA;2019;4x4;D;27357;9500000
29;LEASING;CAMIONETA;2019;4x4;D;34760;9000000
30;LEASING;CAMIONETA;2019;4x4;D;38849;8900000
31;LEASING;CAMIONETA;2019;4x4;D;69781;9600000
32;LEASING;CAMIONETA;2019;4x4;D;78492;9000000
33;LEASING;CAMIONETA;2017;4x4;D;89559;9300000
34;LEASING;CAMIONETA;2017;4x4;D;132467;10500000
35;LEASING;CAMIONETA;2018;4x4;D;24233;8100000
36;LEASING;CAMIONETA;2018;4x4;D;45003;9000000
37;LEASING;CAMIONETA;2018;4x4;D;53657;8800000
38;LEASING;CAMIONETA;2018;4x4;D;62753;8800000
39;LEASING;CAMIONETA;2018;4x4;D;64903;8100000
40;LEASING;CAMIONETA;2018;4x4;D;67561;7900000
41;LEASING;CAMIONETA;2018;4x4;D;69155;8100000
42;LEASING;CAMIONETA;2018;4x4;D;71065;7800000
43;LEASING;CAMIONETA;2018;4x4;D;72455;7900000
44;LEASING;CAMIONETA;2018;4x4;D;72528;7600000
45;LEASING;CAMIONETA;2018;4x4;D;74954;7600000
